Screen Name,File Path,Role,Description,Navigated From,Stack/Modal/Tab
SilenceApp,lib\main.dart,Both,,,
_CalendarDialogPicker,lib\core\calendar_picker.dart,Both,,,
AddonServicesScreen,lib\screens\addon_services.dart,Both,,,
AdminAnalyticsTab,lib\screens\admin_analytics_tab.dart,Admin,,,
AdminHomeScreen,lib\screens\admin_home.dart,Admin,,,
AdminProfileCompleteScreen,lib\screens\admin_profile_complete.dart,Admin,,,
AdminProfileTab,lib\screens\admin_profile_tab.dart,Admin,,,
AnnouncementsHistoryScreen,lib\screens\announcements_history_screen.dart,Both,,,
AuditLogScreen,lib\screens\audit_log_screen.dart,Both,,,
AuthScreen,lib\screens\auth_screen.dart,Both,,,
BrandingAssetsScreen,lib\screens\branding_assets.dart,Both,,,
BusinessRulesScreen,lib\screens\business_rules.dart,Both,,,
ExportCenterScreen,lib\screens\export_center.dart,Both,,,
LibraryProfileScreen,lib\screens\library_profile.dart,Both,,,
LibrarySetupStage1Screen,lib\screens\library_setup_stage1.dart,Both,,,
LibrarySetupStage2Screen,lib\screens\library_setup_stage2.dart,Both,,,
LibrarySetupStage3Screen,lib\screens\library_setup_stage3.dart,Both,,,
MemberAnalyticsTab,lib\screens\member_analytics_tab.dart,Member,,,
MemberHomeScreen,lib\screens\member_home.dart,Member,,,
MemberProfileEditScreen,lib\screens\member_profile_edit.dart,Member,,,
NotificationPreferencesScreen,lib\screens\notification_preferences.dart,Both,,,
PaymentSetupScreen,lib\screens\payment_setup.dart,Both,,,
PricingPlansScreen,lib\screens\pricing_plans.dart,Both,,,
QRAssetsScreen,lib\screens\qr_assets.dart,Both,,,
ReferralSettingsScreen,lib\screens\referral_settings.dart,Both,,,
RoleSelectionScreen,lib\screens\role_selection_screen.dart,Both,,,
ScheduledClosuresScreen,lib\screens\scheduled_closures.dart,Both,,,
ShiftManagementScreen,lib\screens\shift_management.dart,Both,,,
SplashScreen,lib\screens\splash_screen.dart,Both,,,
SubscriptionScreen,lib\screens\subscription_screen.dart,Both,,,
VerifiedBadgeScreen,lib\screens\verified_badge_screen.dart,Both,,,
AddMemberModeSelection,lib\screens\admin\add_member_mode_selection.dart,Admin,,,
AddMemberStep1,lib\screens\admin\add_member_step1.dart,Admin,,,
AddMemberStep2,lib\screens\admin\add_member_step2.dart,Admin,,,
AddMemberStep3,lib\screens\admin\add_member_step3.dart,Admin,,,
AddMemberStep4,lib\screens\admin\add_member_step4.dart,Admin,,,
AddMemberStep5,lib\screens\admin\add_member_step5.dart,Admin,,,
AddMemberWizard,lib\screens\admin\add_member_wizard.dart,Admin,,,
ArchiveSubTab,lib\screens\reservations\archive_sub_tab.dart,Both,,,
JoinFlowScreen,lib\screens\reservations\join_flow_screen.dart,Both,,,
LayoutSubTab,lib\screens\reservations\layout_sub_tab.dart,Both,,,
MembersSubTab,lib\screens\reservations\members_sub_tab.dart,Member,,,
MemberDetailScreen,lib\screens\reservations\member_detail_screen.dart,Member,,,
QRScannerScreen,lib\screens\reservations\qr_scanner_screen.dart,Both,,,
RequestsSubTab,lib\screens\reservations\requests_sub_tab.dart,Both,,,
ReservationsTab,lib\screens\reservations\reservations_tab.dart,Both,,,
QRModal,lib\widgets\qr_modal.dart,Both,,,
SeatGenerationInlineWidget,lib\widgets\seat_generation_inline_widget.dart,Both,,,
VacantSeatGrid,lib\widgets\vacant_seat_grid.dart,Both,,,
